Apoapsis,200km ,Inc,0
 
MET,Mode,dV,TWR,Throttle,Pitch,Q,Alt,Apoapsis,Eta:apo,Periapsis,Stage,Staging,Runmode,Parts
1.86,1,657.08,1.63,0.39,89.85,0.06,131.32,110.79,1.12,-598430.7,1,False,0,31,
3.84,1,660.81,1.65,0.38,89.35,0.29,165.85,167.23,2.38,-598422.66,1,False,0,31,
6.1,1,665.17,1.67,0.36,88.71,0.77,234.99,281.44,3.85,-598405.97,1,False,0,31,
8.66,1,670.88,1.7,0.35,87.95,1.61,354.09,480.34,5.58,-598376.73,1,False,0,31,
11.76,1,678.39,1.73,0.35,87.08,3.02,553.9,817.86,7.7,-598327.06,1,False,0,31,
15.5,1,687.24,1.77,0.35,86.01,5.28,885.12,1383.46,10.37,-598243.97,1,False,0,31,
23.74,1,707,1.86,0.37,84.94,11.53,1952.66,3223.78,16.37,-598009.32,1,False,2,31,
33.48,1,727.7,1.98,0.43,75.88,19.4,3815.7,6442.89,23.59,-597107.65,1,False,2,31,
49.16,1,749.35,2.23,0.53,69.7,26.57,8243.66,14386.72,36.54,-594305.46,1,False,2,31,
